year,storm, dates , max_winds_mph , min_pressure_mb , maximum_strength 
2004,ALEX,7/31 - 8/6,105,957,Hurricane
2004,BONNIE,8/3 - 8/14,55,1001,Tropical Storm
2004,CHARLEY,8/9 - 8/15,130,941,Hurricane
2004,DANIELLE,8/13 - 8/24,95,964,Hurricane
2004,EARL,8/13 - 8/15,45,1009,Tropical Storm
2004,FRANCES,8/25 - 9/10,125,935,Hurricane
2004,GASTON,8/27 - 9/3,65,985,Hurricane
2004,HERMINE,8/27 - 8/31,50,1002,Tropical Storm
2004,IVAN,9/2 - 9/24,145,910,Hurricane
2004,JEANNE,9/13 - 9/29,105,950,Hurricane
2004,KARL,9/16 - 9/28,125,938,Hurricane
2004,LISA,9/19 - 10/3,65,987,Hurricane
2004,MATTHEW,10/8 - 10/11,40,997,Tropical Storm
2004,NICOLE,10/10 - 10/11,45,986,Extratropical
2004,NOT_NAMED,9/7 - 9/10,30,1009,Tropical Depression
2004,OTTO,11/26 - 12/5,45,995,Tropical Storm
2003,ANA,4/18 - 4/27,50,994,Tropical Storm
2003,BILL,6/28 - 7/3,50,997,Tropical Storm
2003,CLAUDETTE,7/7 - 7/17,80,979,Hurricane
2003,DANNY,7/16 - 7/27,65,1000,Hurricane
2003,ERIKA,8/14 - 8/17,65,986,Hurricane
2003,FABIAN,8/27 - 9/9,125,939,Hurricane
2003,GRACE,8/30 - 9/2,35,1007,Tropical Storm
2003,HENRI,9/3 - 9/8,50,997,Tropical Storm
2003,ISABEL,9/6 - 9/20,145,915,Hurricane
2003,JUAN,9/24 - 9/29,90,969,Hurricane
2003,KATE,9/25 - 10/10,110,952,Hurricane
2003,LARRY,9/27 - 10/7,55,993,Tropical Storm
2003,MINDY,10/10 - 10/14,40,1002,Tropical Storm
2003,NICHOLAS,10/13 - 11/1,60,990,Tropical Storm
2003,NOT_NAMED,9/8 - 9/10,30,1007,Tropical Depression
2003,NOT_NAMED,8/21 - 8/22,30,1007,Tropical Depression
2003,NOT_NAMED,7/25 - 7/27,30,1016,Tropical Depression
2003,NOT_NAMED,7/19 - 7/21,30,1010,Tropical Depression
2003,NOT_NAMED,6/11 - 6/11,30,1008,Tropical Depression
2003,ODETTE,12/4 - 12/9,55,993,Tropical Storm
2003,PETER,12/7 - 12/11,60,990,Tropical Storm
2002,ARTHUR,7/14 - 7/19,50,992,Tropical Storm
2002,BERTHA,8/4 - 8/9,35,1007,Tropical Storm
2002,CRISTOBAL,8/5 - 8/8,45,999,Tropical Storm
2002,DOLLY,8/29 - 9/4,50,997,Tropical Storm
2002,EDOUARD,9/1 - 9/6,55,1002,Tropical Storm
2002,FAY,9/5 - 9/11,50,998,Tropical Storm
2002,GUSTAV,9/8 - 9/15,85,960,Hurricane
2002,HANNA,9/12 - 9/15,50,1001,Tropical Storm
2002,ISIDORE,9/14 - 9/27,110,934,Hurricane
2002,JOSEPHINE,9/17 - 9/19,50,1004,Tropical Storm
2002,KYLE,9/20 - 10/12,75,980,Hurricane
2002,LILI,9/21 - 10/4,125,938,Hurricane
2002,NOT_NAMED,10/14 - 10/16,30,1002,Tropical Depression
2002,NOT_NAMED,9/7 - 9/8,30,1013,Tropical Depression
