CELL_TYPE,MAX_SHEAR,WSR_ID,MXDV,CELL_ID,ZTIME,AZIMUTH,RANGE,type,longitude,latitude
TVS,35,KMKE,93,N8,2024-07-14T03:54:36Z,130,42,Point,-87.3225,42.3667
TVS,29,KMKE,86,J1,2024-07-14T03:54:36Z,214,46,Point,-88.6227,42.1818
TVS,29,KMKE,83,V8,2024-07-14T03:54:36Z,143,45,Point,-87.4385,42.2183
TVS,29,KMKE,80,T4,2024-07-14T03:54:36Z,151,44,Point,-87.5678,42.1765
TVS,33,KMKE,96,F2,2024-07-14T03:54:36Z,182,45,Point,-88.0811,42.0693
TVS,33,KUDX,106,G5,2024-07-14T03:55:42Z,336,50,Point,-103.3068,44.8852
TVS,27,KUDX,86,G5,2024-07-14T03:55:42Z,340,51,Point,-103.2392,44.9229
TVS,15,KUDX,51,A4,2024-07-14T03:55:42Z,317,54,Point,-103.6918,44.7799
TVS,30,KUDX,92,B3,2024-07-14T03:59:56Z,344,51,Point,-103.1599,44.9415
TVS,40,KUDX,128,B3,2024-07-14T03:59:56Z,345,53,Point,-103.1521,44.9777
TVS,31,KMKE,86,B9,2024-07-14T04:00:36Z,196,45,Point,-88.3237,42.0976
TVS,28,KMKE,84,J1,2024-07-14T04:00:36Z,210,47,Point,-88.5725,42.1392
TVS,25,KUDX,79,B3,2024-07-14T04:03:59Z,342,53,Point,-103.2145,44.9643
TVS,42,KUDX,119,B3,2024-07-14T04:03:59Z,344,44,Point,-103.1141,44.8295
TVS,29,KUDX,87,B3,2024-07-14T04:03:59Z,347,51,Point,-103.0993,44.9528
TVS,50,KMKE,149,G9,2024-07-14T04:06:36Z,180,48,Point,-88.046,42.0188
TVS,31,KMKE,91,T9,2024-07-14T04:06:36Z,198,48,Point,-88.3779,42.0575
TVS,29,KUDX,91,N5,2024-07-14T04:08:16Z,351,50,Point,-103.0136,44.9478
TVS,29,KUDX,92,N5,2024-07-14T04:08:16Z,342,52,Point,-103.2071,44.9485
TVS,22,KUDX,74,N5,2024-07-14T04:08:16Z,352,53,Point,-103.0033,44.9995
TVS,33,KUDX,88,N5,2024-07-14T04:08:16Z,347,44,Point,-103.0619,44.8392
TVS,33,KUDX,105,A4,2024-07-14T04:08:16Z,324,51,Point,-103.5319,44.8104
TVS,33,KUDX,97,B3,2024-07-14T04:12:19Z,351,47,Point,-103.0024,44.8985
TVS,40,KUDX,104,B3,2024-07-14T04:12:19Z,351,41,Point,-102.9801,44.7997
TVS,32,KMKE,91,P7,2024-07-14T04:12:36Z,198,45,Point,-88.3574,42.1051
TVS,41,KUDX,125,B3,2024-07-14T04:16:29Z,358,48,Point,-102.8693,44.9244
TVS,34,KUDX,95,B3,2024-07-14T04:16:29Z,355,43,Point,-102.9178,44.8388
TVS,33,KUDX,83,A6,2024-07-14T04:16:29Z,348,40,Point,-103.0246,44.7768
TVS,19,KUDX,57,A4,2024-07-14T04:16:29Z,328,47,Point,-103.4129,44.7877
TVS,31,KUDX,76,A6,2024-07-14T04:20:58Z,348,39,Point,-103.0197,44.7606
TVS,39,KUDX,85,A6,2024-07-14T04:20:58Z,348,35,Point,-103,44.6954
TVS,23,KUDX,74,H6,2024-07-14T04:25:22Z,10,51,Point,-102.6221,44.9618
TVS,22,KUDX,52,A6,2024-07-14T04:25:22Z,354,38,Point,-102.9229,44.7547
TVS,23,KUDX,57,A6,2024-07-14T04:25:22Z,357,40,Point,-102.879,44.7906
TVS,15,KDVN,49,S0,2024-07-14T04:27:54Z,34,53,Point,-89.9149,42.3426
TVS,41,KUDX,79,G6,2024-07-14T04:29:58Z,4,31,Point,-102.7795,44.6403
TVS,19,KUDX,55,K6,2024-07-14T04:29:58Z,14,44,Point,-102.5807,44.8362
TVS,24,KUDX,78,H6,2024-07-14T04:29:58Z,12,54,Point,-102.5663,45.0049
TVS,38,KUDX,66,G6,2024-07-14T04:29:58Z,4,29,Point,-102.7828,44.6071
TVS,18,KMKX,58,A3,2024-07-14T04:31:04Z,205,53,Point,-89.053,42.1662
TVS,55,KSLC,97,A0,2024-07-14T04:32:23Z,197,27,Point,-112.1026,40.5363
TVS,18,KDVN,51,S0,2024-07-14T04:32:38Z,35,45,Point,-90.0019,42.2251
